uid,vid,quiz_time,used_time(s),grade
2020213336,5,2022-09-11 21:10:43,44,100
2020213336,6,2022-11-01 22:19:23,106,100
2020213336,7,2022-11-01 22:39:09,71,100
2020213336,8,2022-11-01 23:23:40,243,100
2020213336,9,2022-11-02 11:15:45,92,75
2020213336,10,2022-11-02 21:36:41,711,50
2020213336,11,2022-11-02 22:45:17,9,100
2020213336,12,2022-11-02 23:19:18,63,100
2020213336,13,2022-11-04 11:15:52,182,100
2020213336,14,2022-11-04 12:35:12,370,100
2020213336,15,2022-11-19 20:49:49,282,100
2020213336,16,2022-11-19 21:09:18,231,100
2020213336,17,2022-11-19 21:20:25,154,100
2020213336,18,2022-11-19 21:29:05,217,50
2020213336,19,2022-11-19 21:48:36,381,75
2020213336,20,2022-11-19 21:59:50,323,75
2020213336,21,2022-12-07 19:23:30,272,100
2020213336,22,2022-12-07 19:41:10,137,50
2020213336,23,2022-12-07 19:52:08,354,100
2020213337,1,2022-09-11 20:32:50,94,100
2020213337,2,2022-09-11 20:43:35,77,100
2020213337,3,2022-09-11 20:52:31,215,75
2020213337,4,2022-09-11 21:21:27,188,100
2020213337,5,2022-09-11 21:37:18,17,100
2020213337,6,2022-11-04 15:44:21,200,100
2020213337,7,2022-11-04 15:54:56,423,75
2020213337,8,2022-11-04 16:06:32,167,75
2020213337,9,2022-11-05 16:04:43,201,75
2020213337,10,2022-11-05 16:14:03,495,50
2020213337,11,2022-11-05 16:35:18,142,50
2020213337,12,2022-11-05 16:46:35,88,100
2020213337,13,2022-12-09 20:40:31,279,100
2020213337,15,2022-12-09 22:02:07,228,100
2020213337,16,2022-12-09 22:39:37,156,75
2020213337,17,2022-12-09 22:50:10,337,100
2020213337,18,2022-12-09 23:04:09,523,100
2020213337,19,2022-12-09 23:35:43,326,100
2020213337,20,2022-12-09 23:45:06,177,75
2020213338,1,2022-09-09 22:26:11,84,75
2020213338,2,2022-09-12 09:44:09,48,100
2020213338,3,2022-09-17 09:36:01,83,100
2020213338,4,2022-09-17 09:55:36,23,100
