uid,vid,quiz_time,used_time(s),grade
2021214140,24,2022-09-14 18:48:37,19,33
2021214140,25,2022-09-14 18:51:40,26,75
2021214141,1,2022-09-01 22:01:12,89,75
2021214141,2,2022-09-04 20:16:52,101,100
2021214141,3,2022-09-04 20:18:57,79,50
2021214141,5,2022-09-20 22:10:58,141,75
2021214141,7,2022-09-25 22:39:55,102,100
2021214141,8,2022-09-25 22:48:46,99,100
2021214141,9,2022-10-13 12:35:22,40,50
2021214141,10,2022-10-13 12:39:25,31,100
2021214141,11,2022-10-13 12:44:55,32,100
2021214141,13,2022-11-20 22:16:57,20,100
2021214141,14,2022-11-20 22:21:05,31,100
2021214141,15,2022-11-20 22:24:19,68,50
2021214141,16,2022-11-20 22:28:26,31,100
2021214141,17,2022-11-20 22:32:17,39,100
2021214141,18,2022-11-20 22:35:58,59,25
2021214141,21,2022-10-04 22:07:08,19,100
2021214141,22,2022-09-11 21:21:01,125,100
2021214141,23,2022-09-11 21:29:25,62,67
2021214141,24,2022-09-11 21:36:14,89,100
2021214141,25,2022-09-11 21:41:34,128,100
2021214142,1,2022-09-07 12:54:32,66,100
2021214142,2,2022-09-07 13:00:06,77,100
2021214142,3,2022-09-07 13:04:17,80,75
2021214142,4,2022-09-21 12:39:44,121,75
2021214142,5,2022-09-21 12:45:26,74,100
2021214142,7,2022-10-05 13:37:10,51,50
2021214142,8,2022-10-05 13:31:30,121,100
2021214142,9,2022-11-02 00:09:58,23,75
2021214142,10,2022-11-02 00:13:38,29,100
2021214142,11,2022-11-02 00:22:35,38,100
2021214142,13,2022-11-10 14:06:19,8,50
2021214142,14,2022-11-10 14:10:20,78,0
2021214142,15,2022-11-17 12:44:53,102,75
2021214142,16,2022-11-17 12:49:06,56,100
2021214142,17,2022-11-20 19:45:40,39,100
2021214142,18,2022-11-20 19:49:20,95,0
2021214142,21,2022-10-05 13:21:35,59,67
2021214142,22,2022-09-09 18:10:49,59,100
2021214142,23,2022-09-09 18:28:51,9,33
2021214142,24,2022-09-09 18:20:12,91,33
2021214142,25,2022-09-09 18:24:40,77,100
2021214143,1,2022-09-05 10:16:27,36,100
2021214143,2,2022-09-05 10:25:33,90,50
2021214143,3,2022-09-05 10:37:56,51,100
2021214143,4,2022-09-18 21:49:04,263,75
2021214143,5,2022-09-18 22:10:43,114,75
2021214143,7,2022-09-29 13:46:59,94,75
2021214143,8,2022-09-29 13:56:44,320,100
2021214143,9,2022-10-13 14:06:01,255,75
2021214143,10,2022-10-13 14:13:35,190,75
2021214143,11,2022-10-13 14:24:53,38,75
2021214143,21,2022-10-05 12:43:10,50,67
2021214143,22,2022-09-15 12:22:06,124,100
2021214143,23,2022-09-15 12:31:32,162,100
2021214143,24,2022-09-15 12:42:32,78,100
2021214143,25,2022-09-15 12:48:45,111,75
2021214144,9,2022-10-09 16:16:34,61,100
2021214144,10,2022-10-09 16:21:38,40,75
2021214144,11,2022-10-09 16:36:14,375,50
2021214144,13,2022-11-12 17:01:44,31,0
2021214144,14,2022-11-12 17:06:27,72,0
2021214144,17,2022-11-27 15:51:38,8,100
2021214144,18,2022-11-27 15:56:03,5,100
2021214145,1,2022-09-04 08:22:33,39,75
2021214145,2,2022-09-04 08:27:14,88,100
2021214145,3,2022-09-04 08:37:20,89,75
2021214145,4,2022-09-24 17:33:33,54,75
2021214145,5,2022-09-24 17:35:15,58,75
2021214145,7,2022-09-26 08:30:09,130,75
2021214145,8,2022-09-26 08:35:02,79,100
2021214145,9,2022-11-03 19:27:26,63,100
2021214145,10,2022-11-04 19:34:51,28,75
2021214145,11,2022-11-04 19:43:17,67,100
2021214145,13,2022-11-17 17:18:48,11,0
2021214145,14,2022-11-17 17:22:58,56,100
2021214145,15,2022-11-17 17:30:41,28,75
2021214145,16,2022-11-17 17:33:34,25,100
2021214145,17,2022-11-21 11:22:06,27,100
2021214145,21,2022-10-06 16:38:05,15,67
2021214145,22,2022-09-14 21:37:50,47,100
2021214145,23,2022-09-14 21:38:47,51,67
2021214145,24,2022-09-14 21:39:56,57,67
2021214145,25,2022-09-14 21:41:02,63,100
2021214146,7,2022-09-29 13:10:36,29,50
2021214147,1,2022-09-20 20:28:34,225,50
2021214147,2,2022-09-20 20:36:19,33,100
2021214147,3,2022-09-20 20:39:46,192,50
2021214149,1,2022-09-04 21:50:37,36,75
2021214149,2,2022-09-04 22:05:04,44,75
2021214149,3,2022-09-04 22:23:42,26,100
2021214149,4,2022-09-19 09:59:39,17,100
2021214149,5,2022-09-19 10:00:09,23,75
2021214149,7,2022-10-14 00:19:55,28,75
2021214149,8,2022-10-14 00:21:00,19,75
2021214149,9,2022-10-14 00:22:26,15,50
2021214149,10,2022-10-14 00:23:02,21,75
2021214149,11,2022-10-14 00:24:07,17,75
2021214149,13,2022-12-01 14:04:01,10,0
2021214149,14,2022-12-01 14:05:04,48,33
2021214149,15,2022-12-01 14:06:17,13,75
2021214149,16,2022-12-01 14:06:59,20,100
2021214149,17,2022-12-01 14:07:46,21,100
2021214149,18,2022-12-01 14:08:34,29,50
2021214149,19,2022-12-01 14:09:23,26,75
2021214149,20,2022-12-01 14:10:43,16,100
2021214149,21,2022-10-14 00:21:52,12,100
2021214149,22,2022-09-12 14:51:18,53,75
2021214149,23,2022-09-12 14:52:29,17,67
2021214149,24,2022-09-12 14:53:02,12,33
2021214149,25,2022-09-12 14:53:40,25,50
2021214150,1,2022-09-04 15:12:54,43,75
2021214150,2,2022-09-04 15:43:58,93,75
2021214150,3,2022-09-04 16:38:59,46,100
2021214150,4,2022-09-18 21:33:51,9,100
2021214150,5,2022-09-18 21:41:33,21,50
2021214150,7,2022-09-25 13:20:09,32,75
2021214150,8,2022-09-25 13:15:38,12,100
2021214150,9,2022-10-09 10:40:19,46,75
2021214150,11,2022-10-09 11:24:05,39,100
2021214150,13,2022-11-09 19:14:06,20,100
2021214150,14,2022-11-09 19:17:27,60,100
2021214150,15,2022-11-23 20:17:48,116,100
2021214150,16,2022-11-23 20:21:50,37,67
2021214150,17,2022-11-23 20:25:13,33,75
2021214150,18,2022-11-23 20:28:30,101,50
2021214150,19,2022-11-27 21:46:46,23,75
2021214150,20,2022-11-27 21:50:28,41,100
2021214150,21,2022-10-03 15:44:28,7,67
2021214150,22,2022-09-11 20:27:43,9,75
2021214150,23,2022-09-11 20:37:06,55,67
2021214150,24,2022-09-11 21:18:24,10,33
2021214150,25,2022-09-11 21:23:15,55,50
2021214151,1,2022-09-01 19:27:08,102,100
2021214151,2,2022-09-03 09:33:52,51,75
2021214151,3,2022-09-03 09:42:57,29,100
2021214151,4,2022-11-13 23:41:17,26,100
2021214151,5,2022-11-13 23:43:46,254,75
2021214151,8,2022-11-13 23:50:50,110,100
2021214151,9,2022-11-14 00:00:38,645,100
2021214151,10,2022-11-14 00:14:46,17,75
2021214151,11,2022-11-14 00:16:26,144,100
2021214151,13,2022-11-14 00:20:00,85,100
2021214151,14,2022-11-14 00:22:30,28,67
2021214151,15,2022-11-14 12:46:34,54,75
2021214151,16,2022-11-14 12:48:38,53,100
2021214151,17,2022-11-19 21:41:40,158,100
2021214151,18,2022-11-19 21:50:42,121,0
2021214151,19,2022-12-22 19:55:22,7,75
2021214151,20,2022-12-22 20:00:25,10,100
2021214151,21,2022-11-13 23:59:36,31,67
2021214151,22,2022-09-13 11:10:29,11,100
2021214151,23,2022-09-13 12:06:51,11,67
2021214151,24,2022-09-13 12:07:34,18,33
2021214151,25,2022-09-13 12:08:13,14,75
2021214152,1,2022-09-02 18:32:52,19,100
2021214152,2,2022-09-02 18:48:05,5,100
2021214152,3,2022-09-02 18:53:40,15,100
2021214152,4,2022-09-17 22:54:30,5,100
2021214152,5,2022-09-17 22:57:47,129,75
2021214152,7,2022-09-25 22:22:57,77,50
2021214152,8,2022-09-25 22:29:42,7,75
2021214152,9,2022-10-08 14:40:01,8,100
2021214152,10,2022-10-08 14:43:42,5,100
2021214152,11,2022-10-08 14:56:21,7,100
2021214152,13,2022-11-10 21:42:14,131,50
2021214152,14,2022-11-10 21:48:25,140,33
2021214152,15,2022-12-01 19:34:30,14,100
2021214152,16,2022-12-01 19:37:12,112,67
2021214152,18,2022-12-01 21:08:42,4,100
2021214152,19,2022-12-01 21:35:58,17,75
2021214152,20,2022-12-01 21:41:36,11,67
2021214152,21,2022-10-03 19:48:36,11,100
2021214152,22,2022-09-09 18:51:51,12,100
2021214152,23,2022-09-09 18:56:19,9,100
2021214152,24,2022-09-09 20:37:51,10,100
2021214152,25,2022-09-09 20:42:31,6,100
2021214153,2,2022-09-06 23:33:37,76,100
2021214153,3,2022-09-06 23:45:22,46,100
2021214153,4,2022-09-20 21:21:42,20,100
2021214153,5,2022-09-20 21:22:15,40,100
2021214153,7,2022-09-27 22:52:36,51,75
2021214153,9,2022-11-10 16:41:59,100,75
2021214153,10,2022-11-10 16:48:26,42,75
2021214153,11,2022-11-10 16:51:53,49,100
2021214153,13,2022-11-10 16:55:29,62,100
2021214153,15,2022-12-08 12:29:06,38,50
2021214153,16,2022-12-08 12:31:51,61,33
2021214153,17,2022-12-08 12:36:04,46,75
2021214153,18,2022-12-08 12:39:01,47,75
2021214153,19,2022-12-08 12:42:51,23,75
2021214153,20,2022-12-08 12:45:21,37,67
2021214153,22,2022-09-14 21:44:08,61,100
2021214153,23,2022-09-14 21:51:38,25,67
2021214153,24,2022-09-14 21:57:48,66,67
2021214153,25,2022-09-14 22:02:31,22,50
2021214155,1,2022-09-03 10:30:25,149,75
2021214155,2,2022-09-03 10:42:11,88,75
2021214155,3,2022-09-05 22:02:05,198,75
2021214155,4,2022-09-20 23:29:28,95,50
2021214155,5,2022-09-20 23:34:32,78,75
2021214155,7,2022-09-28 20:26:20,47,25
2021214155,8,2022-09-28 20:36:18,118,50
2021214155,9,2022-10-13 13:15:19,54,75
2021214155,10,2022-10-13 13:19:35,69,75
2021214155,11,2022-10-13 13:32:09,38,75
2021214155,13,2022-11-20 10:53:05,26,100
2021214155,14,2022-11-20 10:57:27,38,67
2021214155,15,2022-11-20 11:01:00,31,75
2021214155,16,2022-11-20 11:04:12,34,67
2021214155,17,2022-11-20 11:08:11,39,50
2021214155,18,2022-11-20 11:12:18,86,50
2021214155,19,2022-12-03 17:39:32,59,75
2021214155,20,2022-12-03 17:44:35,68,100
2021214155,21,2022-10-06 13:16:28,27,100
2021214155,22,2022-09-14 19:28:14,197,75
2021214155,23,2022-09-14 19:35:26,71,100
2021214155,24,2022-09-14 19:41:11,75,67
2021214155,25,2022-09-14 19:46:43,152,100
2021214156,1,2022-09-01 20:39:18,69,75
2021214156,2,2022-09-01 20:51:49,76,75
2021214156,4,2022-09-22 11:00:48,83,100
2021214156,5,2022-09-22 11:05:08,35,100
2021214156,7,2022-09-29 10:49:27,49,75
2021214156,8,2022-09-29 11:00:36,26,50
2021214156,9,2022-11-29 11:15:41,41,50
2021214156,22,2022-09-14 22:14:59,194,100
2021214156,23,2022-09-14 22:21:54,25,67
2021214156,24,2022-09-14 22:27:19,164,67
2021214156,25,2022-09-14 22:38:40,42,100
2021214157,1,2022-09-08 16:24:52,39,75
2021214157,2,2022-09-08 19:46:14,54,75
2021214157,3,2022-09-08 16:32:18,57,25
