uid,cid,ref_diff,ref_len
2021214136,5,164460,269
2021214136,6,91080,177
2021214136,7,1370040,287
2021214136,7,1370100,291
2021214136,8,444900,353
2021214136,9,699540,386
2021214136,10,95340,274
2021214136,11,699960,259
2021214136,12,95700,249
2021214136,13,145260,299
2021214138,1,412920,220
2021214138,2,583980,267
2021214138,3,427560,293
2021214138,4,404880,198
2021214138,5,925440,121
2021214138,6,321000,180
2021214139,1,269280,249
2021214139,2,170880,269
2021214139,3,363000,293
2021214139,4,533760,210
2021214139,5,2602140,199
2021214139,6,1997880,278
2021214139,7,1395300,187
2021214139,7,1395720,363
2021214139,8,188520,202
2021214139,8,429300,295
2021214139,10,536280,352
2021214139,11,1131000,300
2021214139,12,526560,272
2021214140,1,267780,165
2021214140,2,520500,200
2021214140,3,531540,272
2021214140,4,257160,208
2021214140,5,2651220,220
2021214140,6,2046780,262
2021214140,6,2047140,308
2021214140,7,1443180,281
2021214141,2,270540,133
2021214141,3,181440,185
2021214141,4,267240,113
2021214141,5,598980,127
2021214141,6,586260,102
2021214141,7,2132820,135
2021214141,9,1807740,116
2021214142,8,456600,491
2021214142,10,588540,246
2021214142,11,266760,252
2021214143,1,147660,261
2021214143,2,584160,222
2021214143,3,941820,213
2021214143,4,1789020,139
2021214144,1,744660,127
2021214144,2,142740,88
2021214144,3,256980,339
2021214144,5,336600,334
2021214144,6,257100,91
2021214144,10,276540,98
2021214144,12,255000,121
2021214145,1,144660,302
2021214145,2,1381380,367
2021214145,3,777060,522
2021214145,4,172680,482
2021214145,5,259020,471
2021214145,6,4740,103
2021214145,8,699540,417
2021214145,7,1909740,343
2021214147,2,1045080,135
2021214147,3,440520,145
2021214149,1,5171400,239
2021214149,2,4566600,282
2021214149,3,3961800,136
2021214149,4,3357000,237
2021214149,5,2752200,117
2021214149,6,2147460,147
2021214149,7,1542660,188
2021214149,8,3011220,435
2021214149,9,2406420,188
2021214149,10,1801800,458
2021214149,10,1801920,560
2021214149,11,1197360,327
2021214149,12,592620,814
2021214149,13,12120,477
2021214149,5,5431200,288
2021214149,5,5431800,247
2021214149,0,0,320
2021214150,1,238860,155
2021214150,2,273600,333
2021214150,3,270900,319
2021214150,4,271320,366
2021214150,5,162900,314
2021214150,6,271620,457
2021214150,7,1357320,357
2021214150,7,1357380,420
2021214150,8,149280,549
2021214150,9,708900,296
2021214150,10,104160,425
2021214150,11,579840,350
2021214150,12,179640,320
2021214151,1,147540,356
2021214151,2,411840,222
2021214151,3,5183880,232
2021214151,4,4581480,248
2021214151,6,3373020,250
2021214151,5,3978480,213
2021214151,7,2771040,233
2021214151,8,1569540,245
2021214151,9,965760,181
2021214151,10,361680,80
2021214151,11,187620,210
2021214151,12,2427840,266
2021214151,13,1824360,507
2021214152,1,15000,214
