uid,vid,paused,skip_back,skip_forward,rate_change,watch_num
2020213323,2,4,0,0,0,1
2020213323,3,3,2,0,0,1
2020213323,4,3,0,0,0,1
2020213323,5,1,0,0,0,1
2020213323,6,1,0,0,4,1
2020213323,7,0,0,0,0,1
2020213323,8,0,0,0,0,1
2020213323,10,0,0,0,2,1
2020213323,11,0,1,0,1,1
2020213323,12,0,0,1,0,1
2020213323,13,1,0,0,2,1
2020213323,14,0,0,0,3,1
2020213323,15,0,0,0,0,1
2020213323,16,0,0,0,2,1
2020213323,17,0,0,0,1,1
2020213323,18,0,0,0,0,1
2020213323,19,2,1,0,0,1
2020213323,20,0,0,0,0,1
2020213323,21,1,1,1,0,1
2020213323,22,1,1,0,0,1
2020213323,23,0,0,0,0,1
2020213326,1,1,1,0,0,1
2020213326,2,1,1,0,0,1
2020213326,3,0,0,0,0,1
2020213326,4,0,1,0,0,1
2020213326,5,1,0,0,0,1
2020213326,6,0,0,0,1,1
2020213326,7,0,0,0,1,1
2020213326,8,0,0,0,1,1
2020213326,9,0,0,0,1,1
2020213326,10,0,0,0,1,1
2020213326,11,0,0,0,1,1
2020213326,12,0,0,0,1,1
2020213326,13,0,0,0,1,1
2020213326,15,0,0,0,1,1
2020213326,16,0,0,0,1,1
2020213326,18,0,0,0,1,1
2020213326,19,0,0,2,3,1
2020213326,20,0,0,0,1,1
2020213326,21,1,2,6,2,1
2020213326,22,0,0,2,3,1
2020213326,23,0,0,0,0,1
2020213327,1,0,0,0,0,1
2020213327,2,5,4,0,0,1
2020213327,3,1,3,1,0,1
2020213327,4,2,2,0,0,1
2020213327,5,4,2,0,0,1
2020213327,6,0,0,0,0,1
2020213327,7,5,1,0,0,1
2020213327,8,0,2,0,0,1
2020213327,9,0,1,0,0,1
2020213327,10,0,3,0,0,1
2020213327,11,1,1,0,0,1
2020213327,12,1,0,0,0,1
2020213327,13,0,1,0,0,1
2020213327,14,2,7,1,0,1
2020213327,15,0,1,0,0,1
2020213327,16,2,3,0,0,1
2020213327,17,0,0,0,0,1
2020213327,18,0,1,0,0,1
2020213327,19,1,2,0,0,1
2020213327,20,0,0,0,0,1
2020213327,21,0,10,1,0,1
2020213327,22,0,5,0,0,1
2020213327,23,0,0,0,0,1
2020213328,1,2,0,2,2,1
2020213328,2,0,0,0,1,1
2020213328,3,0,0,0,1,1
2020213328,4,0,0,0,1,1
2020213328,5,0,0,0,1,1
2020213329,1,4,1,0,0,1
2020213329,2,0,0,0,0,1
2020213329,3,0,0,0,2,1
2020213329,4,0,0,0,0,1
2020213329,5,0,0,0,0,1
2020213329,6,2,0,1,2,1
2020213330,1,0,0,0,1,1
2020213330,2,0,0,0,1,1
2020213331,1,2,1,0,0,1
2020213331,2,4,1,0,0,1
2020213331,3,6,0,0,0,1
2020213331,4,13,6,0,0,1
2020213331,5,9,1,1,0,1
2020213331,6,0,0,0,0,1
2020213331,7,0,0,0,0,1
2020213331,8,1,0,0,0,1
2020213331,9,0,0,0,0,1
2020213331,10,0,0,0,0,1
2020213331,11,16,3,0,0,1
2020213331,12,0,0,1,2,1
2020213331,13,0,0,0,0,1
2020213331,14,0,0,0,0,1
2020213331,16,0,0,0,0,1
2020213331,17,0,0,0,0,1
2020213331,18,0,0,0,0,1
2020213331,19,0,0,0,0,1
2020213331,20,0,0,0,0,1
2020213331,21,0,0,0,0,1
2020213331,22,0,0,0,0,1
2020213331,23,0,0,0,0,1
2020213335,1,25,10,0,0,1
2020213335,2,4,2,0,0,1
2020213335,3,14,6,3,0,1
2020213335,5,8,3,1,0,1
2020213335,6,0,2,0,0,1
2020213335,7,4,5,0,0,1
2020213335,8,2,2,0,0,1
2020213335,9,8,8,2,0,1
2020213335,10,8,10,1,0,1
2020213335,11,59,31,6,0,1
2020213335,12,3,2,0,0,2
2020213335,13,1,0,0,0,1
2020213335,14,8,6,3,0,2
2020213335,15,10,2,0,0,1
2020213335,16,3,1,0,0,1
2020213335,17,5,0,0,0,1
2020213335,18,4,1,0,0,1
2020213335,19,17,12,21,0,1
2020213335,20,4,1,3,0,2
2020213335,21,5,5,0,0,1
2020213335,22,0,0,0,0,1
2020213335,23,0,0,0,0,1
2020213336,1,0,0,0,0,1
2020213336,2,8,2,4,10,3
2020213336,3,0,0,0,1,1
2020213336,4,0,0,0,1,1
2020213336,5,0,0,0,1,1
2020213336,6,4,0,0,3,1
2020213336,7,2,1,0,1,1
2020213336,8,7,3,0,3,1
2020213336,9,10,3,0,2,1
2020213336,10,9,5,0,3,2
2020213336,12,0,0,0,1,1
2020213336,13,0,0,0,1,1
2020213336,14,0,0,2,1,1
2020213336,15,0,0,0,1,1
2020213336,16,0,0,0,1,1
