,,event,position,timestamp,status,rate
73,3,3,638,23,1,1
75,0,0,0,1,1,1.0
75,1,1,6,7,0,1.0
75,2,0,6,25,1,1.0
75,3,1,12,31,0,1.0
75,4,0,12,33,1,1.0
75,5,1,453,470,0,1.0
75,6,0,453,479,1,1.0
75,7,4,757,781,1,1.25
76,0,0,0,1,1,1
76,1,1,65,65,0,1
76,2,0,65,75,1,1
77,0,0,0,1,1,1
78,0,0,0,1,1,1
78,1,1,737,728,0,1
78,2,0,737,733,1,1
78,3,2,715,737,1,1
78,4,3,728,738,1,1
78,5,1,762,771,0,1
78,6,0,762,968,1,1
78,7,2,770,988,1,1
78,8,1,806,1024,0,1
78,9,0,806,1047,1,1
78,10,2,995,1260,1,1
78,11,2,1251,1526,1,1
79,0,0,0,1,1,1
81,0,0,0,1,1,1
81,1,2,357,383,1,1
82,0,0,0,5,1,1
82,1,3,61,7,1,1
82,2,3,99,14,1,1
82,3,2,9,18,1,1
82,4,1,9,20,0,1
82,5,0,9,23,1,1
82,6,3,106,28,1,1
82,7,2,104,34,1,1
82,8,3,205,42,1,1
82,9,3,274,49,1,1
82,10,2,271,55,1,1
82,11,3,438,57,1,1
82,12,2,265,63,1,1
82,13,3,320,68,1,1
82,14,3,460,73,1,1
82,15,1,460,75,0,1
82,16,0,460,77,1,1
82,17,1,514,130,0,1
82,18,3,676,133,0,1
82,19,1,676,133,0,1
82,20,0,676,135,1,1
83,0,0,0,1,1,1
83,1,1,230,229,0,1
83,2,0,230,231,1,1
84,0,0,0,1,1,1
84,1,2,230,243,1,1
84,2,1,230,243,0,1
84,3,0,230,246,1,1
86,0,0,0,1,1,1
86,1,2,219,229,1,1
86,2,1,224,234,0,1
86,3,0,224,307,1,1
87,0,0,0,1,1,1.0
87,1,4,3,5,1,2.0
88,0,0,0,0,1,1.0
88,1,4,0,1,1,2.0
89,0,0,0,1,1,1
90,0,0,0,1,1,1.0
90,1,4,5,4,1,2.0
91,0,0,0,0,1,1.0
91,1,4,0,1,1,2.0
92,0,0,0,1,1,1
93,0,0,0,5,1,1
93,1,3,464,297,1,1
94,0,0,0,1,1,1
95,0,0,0,1,1,1
96,0,0,0,1,1,1.0
96,1,4,3,5,1,2.0
97,0,0,0,1,1,1
97,1,3,496,167,1,1
98,0,0,0,1,1,1
99,0,0,0,1,1,1.0
99,1,1,20,20,0,1.0
99,2,0,20,173,1,1.0
99,3,4,106,259,1,2.0
100,0,0,0,1,1,1
100,1,3,145,67,1,1
100,2,3,277,86,1,1
100,3,3,512,102,1,1
100,4,3,647,108,1,1
100,5,3,788,113,1,1
100,6,3,927,121,1,1
100,7,3,1023,129,1,1
100,8,3,1268,136,1,1
101,0,0,0,1,1,1
101,1,3,343,3,1,1
101,2,1,343,3,0,1
101,3,0,343,12,1,1
101,4,3,392,15,1,1
102,0,0,1125,9,1,1
102,1,3,1251,14,1,1
103,0,0,0,7,1,1
103,1,1,1,8,0,1
